task_type,route_id,queries,success_rate,abstention_rate,mean_gpu_joules,energy_coverage,execution_failure_rate
temporal_update,A08_tiny_memory_flat,15,0.0,0.0,156.52191694094913,1.0,0.0
temporal_update,A09_tiny_memory_hier,15,0.0,0.0,182.50543474427553,1.0,0.0
temporal_update,A10_tiny_memory_graph,15,0.0,0.0,182.63347030072984,1.0,0.0
temporal_update,A12_small_hybrid_both,15,0.0,0.0,258.55547964368606,1.0,0.0
temporal_update,A13_small_hybrid_verified,15,0.0,1.0,260.60581570501574,1.0,0.0
temporal_update,A14_upper_hybrid_verified,15,1.0,0.0,230.3342467025479,1.0,0.0
temporal_update,M16_tiny_grounded_verified,15,0.0,1.0,199.3571134627093,1.0,0.0
temporal_update,M17_granite_direct,15,0.0,1.0,29.593806896197403,1.0,0.0
temporal_update,M18_granite_grounded_verified,15,1.0,0.0,152.12717591265263,1.0,0.0
temporal_update,M19_peer_direct,15,0.0,0.2,112.08776628767605,1.0,0.0
temporal_update,M20_peer_grounded_verified,15,0.9333333333333333,0.06666666666666667,129.41499234569517,1.0,0.0
temporal_update,M21_upper_direct,15,0.0,1.0,83.74516136347418,1.0,0.0
